	Phase	Circadian time Acrophase
NCU00182.7	4	16.266666666666666
NCU00003.7	0	12.0
NCU01290.7	16	5.066666666666666
NCU01112.7	16	5.066666666666666
NCU03846.7	2	14.133333333333333
NCU08297.7	22	11.466666666666669
NCU09570.7	0	12.0
NCU01197.7	0	12.0
NCU02624.7	4	16.266666666666666
NCU06684.7	18	7.199999999999999
NCU06821.7	12	0.8000000000000007
NCU00753.7	0	12.0
NCU01066.7	12	0.8000000000000007
NCU01473.7	2	14.133333333333333
NCU02134.7	2	14.133333333333333
NCU07467.7	0	12.0
NCU03935.7	10	22.666666666666664
NCU05226.7	12	0.8000000000000007
NCU06859.7	12	0.8000000000000007
NCU01081.7	22	11.466666666666669
NCU07925.7	20	9.333333333333329
NCU00707.7	12	0.8000000000000007
NCU02333.7	16	5.066666666666666
NCU00957.7	0	12.0
NCU01454.7	2	14.133333333333333
NCU01857.7	0	12.0
NCU02316.7	10	22.666666666666664
NCU05196.7	16	5.066666666666666
NCU05850.7	0	12.0
NCU06870.7	2	14.133333333333333
NCU07996.7	6	18.4
NCU06724.7	12	0.8000000000000007
NCU06959.7	4	16.266666666666666
NCU07949.7	6	18.4
NCU09122.7	16	5.066666666666666
NCU00361.7	2	14.133333333333333
NCU02263.7	20	9.333333333333329
NCU02530.7	2	14.133333333333333
NCU03211.7	10	22.666666666666664
NCU03441.7	0	12.0
NCU07010.7	12	0.8000000000000007
NCU05236.7	6	18.4
NCU03020.7	20	9.333333333333329
NCU09642.7	20	9.333333333333329
NCU02701.7	18	7.199999999999999
NCU06168.7	4	16.266666666666666
NCU07817.7	4	16.266666666666666
NCU00304.7	8	20.53333333333333
NCU01991.7	0	12.0
NCU02887.7	10	22.666666666666664
NCU06512.7	2	14.133333333333333
NCU02014.7	20	9.333333333333329
NCU02819.7	20	9.333333333333329
NCU05290.7	12	0.8000000000000007
NCU00775.7	2	14.133333333333333
NCU02227.7	0	12.0
NCU04385.7	10	22.666666666666664
NCU04907.7	20	9.333333333333329
NCU06270.7	2	14.133333333333333
NCU09647.7	12	0.8000000000000007
NCU01546.7	20	9.333333333333329
NCU08009.7	8	20.53333333333333
NCU04412.7	12	0.8000000000000007
NCU02220.7	8	20.53333333333333
NCU02541.7	22	11.466666666666669
NCU06296.7	0	12.0
NCU07503.7	10	22.666666666666664
NCU09320.7	12	0.8000000000000007
NCU00454.7	12	0.8000000000000007
NCU01754.7	20	9.333333333333329
NCU03151.7	2	14.133333333333333
NCU03967.7	2	14.133333333333333
NCU05605.7	4	16.266666666666666
NCU07580.7	0	12.0
NCU08903.7	2	14.133333333333333
NCU06441.7	12	0.8000000000000007
NCU02597.7	0	12.0
NCU03356.7	10	22.666666666666664
NCU03997.7	18	7.199999999999999
NCU08044.7	18	7.199999999999999
NCU09089.7	6	18.4
NCU11426.7	18	7.199999999999999
NCU00210.7	2	14.133333333333333
NCU01007.7	2	14.133333333333333
NCU03068.7	10	22.666666666666664
NCU02302.7	4	16.266666666666666
NCU02560.7	16	5.066666666666666
NCU05524.7	6	18.4
NCU08324.7	18	7.199999999999999
NCU15834.7	4	16.266666666666666
NCU02636.7	8	20.53333333333333
NCU05542.7	2	14.133333333333333
NCU06558.7	2	14.133333333333333
NCU07379.7	2	14.133333333333333
NCU08111.7	2	14.133333333333333
NCU08095.7	20	9.333333333333329
NCU08620.7	10	22.666666666666664
NCU08947.7	12	0.8000000000000007
NCU04114.7	0	12.0
NCU01002.7	0	12.0
NCU02400.7	6	18.4
NCU07959.7	2	14.133333333333333
NCU03877.7	2	14.133333333333333
NCU04227.7	0	12.0
NCU09210.7	2	14.133333333333333
NCU00881.7	20	9.333333333333329
NCU04502.7	4	16.266666666666666
NCU07171.7	20	9.333333333333329
NCU07714.7	4	16.266666666666666
NCU00522.7	10	22.666666666666664
NCU01615.7	18	7.199999999999999
NCU08094.7	18	7.199999999999999
NCU02322.7	0	12.0
NCU02360.7	22	11.466666666666669
NCU02595.7	2	14.133333333333333
NCU10518.7	22	11.466666666666669
NCU00137.7	10	22.666666666666664
NCU00472.7	18	7.199999999999999
NCU09930.7	12	0.8000000000000007
NCU02606.7	0	12.0
NCU04077.7	18	7.199999999999999
NCU06210.7	16	5.066666666666666
NCU07727.7	6	18.4
NCU09347.7	18	7.199999999999999
NCU02295.7	0	12.0
NCU03311.7	8	20.53333333333333
NCU05890.7	2	14.133333333333333
NCU06460.7	22	11.466666666666669
NCU07192.7	0	12.0
NCU07436.7	14	2.9333333333333336
NCU09311.7	2	14.133333333333333
NCU02651.7	20	9.333333333333329
NCU07277.7	20	9.333333333333329
NCU02754.7	8	20.53333333333333
NCU01612.7	2	14.133333333333333
NCU06191.7	20	9.333333333333329
NCU02684.7	0	12.0
NCU04779.7	16	5.066666666666666
NCU07400.7	18	7.199999999999999
NCU09598.7	22	11.466666666666669
NCU01565.7	0	12.0
NCU03100.7	8	20.53333333333333
NCU03303.7	0	12.0
NCU04171.7	2	14.133333333333333
NCU05778.7	2	14.133333333333333
NCU05782.7	2	14.133333333333333
NCU03139.7	20	9.333333333333329
NCU07998.7	22	11.466666666666669
NCU01979.7	0	12.0
NCU02419.7	14	2.9333333333333336
NCU03385.7	4	16.266666666666666
NCU05959.7	16	5.066666666666666
NCU08352.7	4	16.266666666666666
NCU08944.7	22	11.466666666666669
NCU06175.7	14	2.9333333333333336
